21,5
22,5
21,6
22,6
19,7
20,7
21,7
19,8
20,8
21,8
19,9
20,9
20,10
20,11
20,12
21,12
29,12
21,13
22,13
25,13
26,13
29,13
20,14
21,14
22,14
23,14
24,14
25,14
26,14
27,14
28,14
29,14
17,15
18,15
20,15
21,15
22,15
23,15
24,15
25,15
26,15
27,15
17,16
18,16
19,16
20,16
21,16
22,16
23,16
24,16
25,16
15,17
16,17
17,17
20,17
22,17
23,17
24,17
25,17
15,18
16,18
23,18
24,18
15,19
16,19
23,19
24,19
15,20
15,21
16,21
15,22
16,22
17,22
18,22
16,23
17,23
18,23
19,23
20,23
17,24
18,24
20,24
21,24
18,25
19,25
20,25
21,25
18,26
19,26
20,26
21,26
22,26
23,26
18,27
19,27
20,27
21,27
22,27
23,27
16,28
17,28
18,28
19,28
20,28
21,28
22,28
23,28
24,28
38,28
17,29
18,29
19,29
20,29
21,29
22,29
23,29
37,29
38,29
15,30
16,30
17,30
18,30
19,30
20,30
21,30
22,30
23,30
30,30
34,30
35,30
36,30
37,30
38,30
17,31
18,31
19,31
20,31
21,31
22,31
23,31
30,31
31,31
32,31
33,31
34,31
35,31
36,31
37,31
38,31
39,31
17,32
18,32
20,32
21,32
22,32
23,32
28,32
29,32
30,32
31,32
33,32
34,32
35,32
36,32
37,32
38,32
39,32
40,32
17,33
18,33
19,33
20,33
21,33
25,33
27,33
28,33
29,33
30,33
33,33
34,33
35,33
36,33
38,33
39,33
40,33
16,34
17,34
18,34
19,34
25,34
27,34
28,34
29,34
30,34
31,34
32,34
33,34
34,34
39,34
40,34
16,35
17,35
18,35
19,35
25,35
26,35
27,35
28,35
29,35
30,35
31,35
32,35
33,35
34,35
35,35
39,35
40,35
41,35
42,35
43,35
44,35
16,36
17,36
18,36
19,36
20,36
26,36
28,36
29,36
30,36
32,36
33,36
34,36
35,36
41,36
42,36
43,36
44,36
16,37
17,37
18,37
19,37
20,37
28,37
29,37
30,37
32,37
33,37
34,37
35,37
36,37
37,37
42,37
43,37
15,38
16,38
17,38
18,38
19,38
20,38
28,38
29,38
30,38
31,38
32,38
33,38
34,38
35,38
36,38
37,38
38,38
42,38
43,38
15,39
16,39
17,39
18,39
19,39
20,39
24,39
26,39
28,39
29,39
30,39
31,39
32,39
33,39
34,39
35,39
36,39
37,39
38,39
39,39
42,39
43,39
14,40
15,40
16,40
17,40
18,40
19,40
23,40
24,40
25,40
26,40
27,40
28,40
29,40
30,40
31,40
32,40
33,40
34,40
35,40
36,40
37,40
38,40
42,40
15,41
16,41
17,41
18,41
19,41
20,41
21,41
22,41
23,41
24,41
27,41
28,41
29,41
30,41
31,41
32,41
33,41
34,41
35,41
36,41
18,42
19,42
20,42
27,42
28,42
29,42
34,42
35,42
36,42
37,42
34,43
35,43
36,43
37,43
34,44
36,44
37,44
